Species	Common.x	Category.x	Common.y	Category.y
Alibertia edulis	NA	NA	NA	Domesticated Plant GRIN Food
Alibertia patinoi	NA	NA	NA	Domesticated Plant GRIN Food
Alibertia sorbilis	NA	NA	NA	Domesticated Plant GRIN Food
Allanblackia floribunda	NA	NA	NA	Domesticated Plant GRIN Food
Allanblackia parviflora	NA	NA	NA	Domesticated Plant GRIN Food
Allanblackia stuhlmannii	NA	NA	NA	Domesticated Plant GRIN Food
Allium × cornutum	NA	NA	NA	Domesticated Plant GRIN Food
Allium × proliferum	Tree onion[2]	Domesticated Plant Vegetable	NA	Domesticated Plant GRIN Food
Allium altaicum	NA	NA	NA	Domesticated Plant GRIN Food
Allium ampeloprasum	NA	NA	broadleaf wild leek	Domesticated Plant GRIN Food
Allium canadense	NA	NA	"c(""meadow onion"", ""ail du Canada"", ""wild onion"", ""Canada garlic"", ""meadow garlic"")"	Domesticated Plant GRIN Food
Allium carolinianum	NA	NA	NA	Domesticated Plant GRIN Food
Allium cepa	Onion	Domesticated Plant Vegetable	garden onion	Domesticated Plant GRIN Food
Allium chinense	NA	NA	rakkyo	Domesticated Plant GRIN Food
Allium fistulosum	Welsh onion	Domesticated Plant Vegetable	welsh onion	Domesticated Plant GRIN Food
Allium hookeri	NA	NA	NA	Domesticated Plant GRIN Food
Allium macrostemon	NA	NA	NA	Domesticated Plant GRIN Food
Allium nutans	NA	NA	NA	Domesticated Plant GRIN Food
Allium porrum	Leek	Domesticated Plant Vegetable	garden leek	Domesticated Plant GRIN Food
Allium sacculiferum	NA	NA	NA	Domesticated Plant GRIN Food
Allium stracheyi	NA	NA	NA	Domesticated Plant GRIN Food
Allium tuberosum	Garlic chives	Domesticated Plant Vegetable	Chinese chives	Domesticated Plant GRIN Food
Allium victorialis	NA	NA	victory onion	Domesticated Plant GRIN Food
Allophylus edulis	NA	NA	NA	Domesticated Plant GRIN Food
Alocasia cucullata	NA	NA	chinese taro	Domesticated Plant GRIN Food
Alocasia macrorrhizos	NA	NA	giant taro	Domesticated Plant GRIN Food
Aloysia citrodora	NA	NA	lemon beebrush	Domesticated Plant GRIN Food
Alternanthera sessilis	NA	NA	sessile joyweed	Domesticated Plant GRIN Food
Althaea officinalis	NA	NA	"c(""common marsh-mallow"", ""common marshmallow"", ""guimauve officinale"")"	Domesticated Plant GRIN Food
Amaranthus blitum	NA	NA	purple amaranth	Domesticated Plant GRIN Food
Amaranthus caudatus	"c(""quelite"", ""love-lies-bleeding"")"	Domesticated Plant Student	"c(""quelite"", ""love-lies-bleeding"")"	Domesticated Plant GRIN Food
Amaranthus cruentus	Amaranth	Domesticated Plant Vegetable	red amaranth	Domesticated Plant GRIN Food
Amaranthus dubius	spleen amaranth	Domesticated Plant Student	spleen amaranth	Domesticated Plant GRIN Food
Amaranthus hypochondriacus	"c(""Prince-of-Wales-feather"", ""Prince-of-Wales feather"")"	Domesticated Plant Student	"c(""Prince-of-Wales-feather"", ""Prince-of-Wales feather"")"	Domesticated Plant GRIN Food
Amaranthus spinosus	NA	NA	"c(""pigweed"", ""spiny amaranth"")"	Domesticated Plant GRIN Food
Amaranthus tricolor	Joseph's-coat	Domesticated Plant Student	Joseph's-coat	Domesticated Plant GRIN Food
Amaranthus viridis	NA	NA	slender amaranth	Domesticated Plant GRIN Food
Ambelania acida	NA	NA	NA	Domesticated Plant GRIN Food
Amelanchier alnifolia	Serviceberry	Domesticated Plant Fruit	"c(""juneberry"", ""Pacific serviceberry"", ""western serviceberry"", ""western shadbush"", ""Saskatoon serviceberry"")"	Domesticated Plant GRIN Food
Amelanchier alnifolia	Saskatoon	Domesticated Plant Fruit	"c(""juneberry"", ""Pacific serviceberry"", ""western serviceberry"", ""western shadbush"", ""Saskatoon serviceberry"")"	Domesticated Plant GRIN Food
Amelanchier arborea	NA	NA	"c(""Allegheny serviceberry"", ""apple shadbush"", ""downy serviceberry"", ""shadblow"", ""common serviceberry"")"	Domesticated Plant GRIN Food
Amelanchier lamarckii	NA	NA	NA	Domesticated Plant GRIN Food
Amelanchier ovalis	NA	NA	NA	Domesticated Plant GRIN Food
Amorphophallus abyssinicus	NA	NA	NA	Domesticated Plant GRIN Food
Amorphophallus konjac	NA	NA	devil's tongue	Domesticated Plant GRIN Food
Amorphophallus paeoniifolius	Elephant foot yam	Domesticated Plant Vegetable	whitespot giant arum	Domesticated Plant GRIN Food
Amphicarpaea bracteata	NA	NA	"c(""American hogpeanut"", ""hog-peanut"")"	Domesticated Plant GRIN Food
Anacardium giganteum	NA	NA	NA	Domesticated Plant GRIN Food
Anacardium occidentale	Cashew apple	Domesticated Plant Fruit	cashew	Domesticated Plant GRIN Food
Anacolosa frutescens	NA	NA	NA	Domesticated Plant GRIN Food
Ananas comosus	Pineapple	Domesticated Plant Fruit	"c(""Piña"", ""pineapple"")"	Domesticated Plant GRIN Food
Angelica archangelica	NA	NA	Norwegian angelica	Domesticated Plant GRIN Food
