#Non Wild Species used to filter BioProjects from the INSDC SRA in Crandall et al. Metadata preservation and stewardship for genomic data is possible, but must happen now
#Please see the supplemental materials of Toczydlowski et al. 2021 PNAS for how this list was compiled https://doi.org/10.1073/pnas.2107934118
Species	Common	Category	Source
Plasmodium	Malaria	Human Pathogen	Wikipedia
Pneumocystis jirovecii	Pneumocystis pneumonia (PCP)	Human Pathogen	Wikipedia
Pthirus pubis	"Pediculosis pubis (pubic lice, crab lice)"	Human Pathogen	Wikipedia
Rhinosporidium seeberi	Rhinosporidiosis	Human Pathogen	Wikipedia
Sarcoptes scabiei	Scabies	Human Pathogen	Wikipedia
Schistosoma	Schistosomiasis	Human Pathogen	Wikipedia
Sporothrix schenckii	Sporotrichosis	Human Pathogen	Wikipedia
Strongyloides stercoralis	Strongyloidiasis	Human Pathogen	Wikipedia
Taenia	Taeniasis	Human Pathogen	Wikipedia
Taenia solium	Cysticercosis	Human Pathogen	Wikipedia
Toxoplasma gondii	Toxoplasmosis	Human Pathogen	Wikipedia
Trichomonas vaginalis	Trichomoniasis	Human Pathogen	Wikipedia
Trichophyton	Ringworm	Human Pathogen	Wikipedia
Trypanosoma brucei	African sleeping sickness (African trypanosomiasis)	Human Pathogen	Wikipedia
Trypanosoma cruzi	Chagas disease (American trypanosomiasis)	Human Pathogen	Wikipedia
Wuchereria bancrofti�	Filariasis	Human Pathogen	Wikipedia
Abelmoschus esculentus	"c(""okra"", ""gumbo"", ""lady's finger"")"	Model Species	Wikipedia
Aedes albopictus	forest day mosquito	Model Species	Wikipedia
Ambystoma mexicanum	California Tiger Salamander	Model Species	Wikipedia
Anolis carolinensis	Carolina anole	Model Species	Wikipedia
Apis mellifera	"c(""honey bee"", ""abeille domestique"")"	Model Species	Wikipedia
Arabidopsis thaliana	rockcress	Model Species	Wikipedia
Arabidopsis thaliana x Arabidopsis arenosa	rockcress	Model Species	Wikipedia
Arabidopsis thaliana x Arabidopsis arenosa x Arabidopsis suecica	rockcress	Model Species	Wikipedia
Arachis hypogaea	peanut	Model Species	Wikipedia
Arachis monticola	peanut	Model Species	Wikipedia
Asymmetron lucayanum	Amphioxus	Model Species	Wikipedia
Barbarea vulgaris	"c(""yellow rocket"", ""garden yellow rocket"", ""winter cress"", ""garden yellowrocket"")"	Model Species	Wikipedia
Bos taurus	"c(""aurochs"", ""domesticated cattle"", ""domestic cattle (feral)"", ""Aurochs"")"	Model Species	Wikipedia
Brachypodium distachyon	"c(""purple false brome"", ""purple falsebrome"")"	Model Species	Wikipedia
Brassica napus	"c(""turnip"", ""rape"")"	Model Species	Wikipedia
Brassica rapa	"c(""rape mustard"", ""rape"", ""bird's rape"", ""birdsrape mustard"", ""wild mustard"", ""wild rutabaga"", ""wild turnip"", ""turnip rape"", ""field mustard"")"	Model Species	Wikipedia
Caenorhabditis elegans	mode nematode	Model Species	Wikipedia
Callosobruchus maculatus	Cowpea Weevil	Model Species	Wikipedia
Candida albicans	fungus	Model Species	Wikipedia
Candida glabrata	fungus	Model Species	Wikipedia
Cenchrus americanus	pearl millet	Model Species	Wikipedia
Chlamydomonas reinhardtii	Green alga biofuels	Model Species	Wikipedia
Chlorella sorokiniana	Green alga biofuels	Model Species	Wikipedia
Chlorella sp. Dachan	Green alga biofuels	Model Species	Wikipedia
Chlorella variabilis	Green alga biofuels	Model Species	Wikipedia
Chromochloris zofingiensis	Green alga	Model Species	Wikipedia
Columba livia	"c(""Paloma domestica"", ""Rock Dove"", ""pigeon biset"", ""Common Pigeon"", ""Rock Pigeon"")"	Model Species	Wikipedia
Cryptococcus amylolentus	Model fungus	Model Species	Wikipedia
Cryptococcus gattii	Model fungus	Model Species	Wikipedia
Cryptococcus neoformans var. grubii	Model fungus	Model Species	Wikipedia
Danio rerio	Zebrafish	Model Species	Wikipedia
Dictyostelium discoideum	Model amoeba	Model Species	Wikipedia
Drosophila melanogaster	Model fly	Model Species	Wikipedia
Ectocarpus siliculosus	Model brown algae	Model Species	Wikipedia
Emiliania huxleyi	Coccolithophore	Model Species	Wikipedia
Erythranthe guttata	Model monkeyflower	Model Species	Wikipedia
Erythranthe lutea	Model monkeyflower	Model Species	Wikipedia
Fundulus heteroclitus	Mummichog	Model Species	Wikipedia
Gallus gallus	Red junglefowl	Model Species	Wikipedia
Glycine max	"c(""soybean"", ""wild soybean"", ""reseeding soybean"")"	Model Species	Wikipedia
Gossypium hirsutum	"c(""upland cotton"", ""algodón"")"	Model Species	Wikipedia
Komagataella phaffii	Model yeast	Model Species	Wikipedia
Mus musculus	White mouse	Model Species	Wikipedia
Neurospora crassa	Model fungus	Model Species	Wikipedia
Nothobranchius furzeri	Turquoise killifish	Model Species	Wikipedia
Oryzias latipes	Japanese rice fish	Model Species	Wikipedia
Physcomitrella patens	Moss	Model Species	Wikipedia
Podospora anserina	Model fungus	Model Species	Wikipedia
Poecilia reticulata	"c(""gupi"", ""guppy"", ""millions fish"", ""rainbowfish"")"	Model Species	Wikipedia
Rattus norvegicus	"c(""rat surmulot"", ""Brown Rat"", ""Norway Rat"")"	Model Species	Wikipedia
Rhizophagus irregularis	Model fungus	Model Species	Wikipedia
Rhodotorula toruloides	Model fungus bioremediation	Model Species	Wikipedia
Rosa hybrid cultivar	NA	Model Species	Wikipedia
Saccharomyces cerevisiae	Brewers yeast	Model Species	Wikipedia
Schizosaccharomyces pombe	Fission Yeast	Model Species	Wikipedia
Sesamum indicum	sesame	Model Species	Wikipedia
Solanum macrocarpon	nightshade	Model Species	Wikipedia
Tetrahymena thermophila	Model ciliate	Model Species	Wikipedia
Xenopus laevis	"c(""African Clawed Frog"", ""Rana-de garras africana"")"	Model Species	Wikipedia
Xenopus tropicalis	Western clawed Frog	Model Species	Wikipedia
Yarrowia lipolytica	Fungus studied as novel food	Model Species	Wikipedia
