Species	Common	Category
Trypanosoma cruzi	NA	Human Pathogen VEuPathDB
Pneumocystis jirovecii	NA	Human Pathogen VEuPathDB
Cyphellophora europaea	NA	Human Pathogen VEuPathDB
Mucor circinelloides	NA	Human Pathogen VEuPathDB
Pythium aphanidermatum	NA	Human Pathogen VEuPathDB
Pythium arrhenomanes	NA	Human Pathogen VEuPathDB
Pythium irregulare	NA	Human Pathogen VEuPathDB
Pythium iwayamai	NA	Human Pathogen VEuPathDB
Pythium ultimum	NA	Human Pathogen VEuPathDB
Phytopythium vexans	NA	Human Pathogen VEuPathDB
Fusarium proliferatum	NA	Human Pathogen VEuPathDB
Plasmodium inui	NA	Human Pathogen VEuPathDB
Acanthamoeba castellanii	NA	Human Pathogen VEuPathDB
Plasmodium vivax	malaria parasite P. vivax	Human Pathogen VEuPathDB
Fusarium fujikuroi	NA	Human Pathogen VEuPathDB
Leishmania panamensis	NA	Human Pathogen VEuPathDB
Leishmania braziliensis	NA	Human Pathogen VEuPathDB
Kwoniella bestiolae	NA	Human Pathogen VEuPathDB
Cryptococcus gattii	NA	Human Pathogen VEuPathDB
Cryptococcus gattii VGIV	NA	Human Pathogen VEuPathDB
Cryptococcus gattii VGIII	NA	Human Pathogen VEuPathDB
Kwoniella heveanensis	NA	Human Pathogen VEuPathDB
Kwoniella dejecticola	NA	Human Pathogen VEuPathDB
unclassified Leishmania	NA	Human Pathogen VEuPathDB
Aspergillus niger	NA	Human Pathogen VEuPathDB
Ordospora colligata	NA	Human Pathogen VEuPathDB
Encephalitozoon cuniculi	NA	Human Pathogen VEuPathDB
Spraguea lophii	NA	Human Pathogen VEuPathDB
Plasmodium falciparum	malaria parasite P. falciparum	Human Pathogen VEuPathDB
Aspergillus campestris	NA	Human Pathogen VEuPathDB
Aspergillus steynii	NA	Human Pathogen VEuPathDB
Aspergillus novofumigatus	NA	Human Pathogen VEuPathDB
Aspergillus ochraceoroseus	NA	Human Pathogen VEuPathDB
Sporothrix schenckii	NA	Human Pathogen VEuPathDB
Sporothrix brasiliensis	NA	Human Pathogen VEuPathDB
Fonsecaea pedrosoi	NA	Human Pathogen VEuPathDB
Theileria equi	NA	Human Pathogen VEuPathDB
Cryptosporidium sp.	NA	Human Pathogen VEuPathDB
Anopheles gambiae	African malaria mosquito	Human Pathogen VEuPathDB
Giardia Assemblage A	NA	Human Pathogen VEuPathDB
Trypanosoma brucei	NA	Human Pathogen VEuPathDB
unclassified Amphiamblys	NA	Human Pathogen VEuPathDB
Cryptococcus neoformans	NA	Human Pathogen VEuPathDB
Coccidioides posadasii	NA	Human Pathogen VEuPathDB
Aspergillus nidulans	NA	Human Pathogen VEuPathDB
Fusarium graminearum	NA	Human Pathogen VEuPathDB
Candida albicans	NA	Human Pathogen VEuPathDB
Ustilago maydis	NA	Human Pathogen VEuPathDB
Coprinopsis cinerea	NA	Human Pathogen VEuPathDB
Magnaporthe oryzae	NA	Human Pathogen VEuPathDB
Rhizopus delemar	NA	Human Pathogen VEuPathDB
Coccidioides immitis	NA	Human Pathogen VEuPathDB
Phanerochaete chrysosporium	NA	Human Pathogen VEuPathDB
Yarrowia lipolytica	NA	Human Pathogen VEuPathDB
Candida glabrata	NA	Human Pathogen VEuPathDB
Schizosaccharomyces pombe	fission yeast	Human Pathogen VEuPathDB
Entamoeba histolytica	NA	Human Pathogen VEuPathDB
Candida tropicalis	NA	Human Pathogen VEuPathDB
Cryptococcus deuterogattii	NA	Human Pathogen VEuPathDB
Clavispora lusitaniae	NA	Human Pathogen VEuPathDB
Plasmodium chabaudi	NA	Human Pathogen VEuPathDB
Aspergillus fumigatus	NA	Human Pathogen VEuPathDB
Aspergillus fischeri	NA	Human Pathogen VEuPathDB
Botrytis cinerea	NA	Human Pathogen VEuPathDB
Aspergillus flavus	NA	Human Pathogen VEuPathDB
Theileria parva	NA	Human Pathogen VEuPathDB
Fusarium verticillioides	NA	Human Pathogen VEuPathDB
Zymoseptoria tritici	NA	Human Pathogen VEuPathDB
Uncinocarpus reesii	NA	Human Pathogen VEuPathDB
Histoplasma capsulatum	NA	Human Pathogen VEuPathDB
Aspergillus terreus	NA	Human Pathogen VEuPathDB
Aspergillus clavatus	NA	Human Pathogen VEuPathDB
Leishmania major	NA	Human Pathogen VEuPathDB
Plasmodium yoelii	NA	Human Pathogen VEuPathDB
Cryptosporidium hominis	NA	Human Pathogen VEuPathDB
Cryptosporidium parvum	NA	Human Pathogen VEuPathDB
Theileria annulata	NA	Human Pathogen VEuPathDB
Neurospora crassa	NA	Human Pathogen VEuPathDB
Entamoeba dispar	NA	Human Pathogen VEuPathDB
Entamoeba invadens	NA	Human Pathogen VEuPathDB
Schizosaccharomyces japonicus	NA	Human Pathogen VEuPathDB
Batrachochytrium dendrobatidis	NA	Human Pathogen VEuPathDB
Phytophthora infestans	potato late blight agent	Human Pathogen VEuPathDB
Trichomonas vaginalis	NA	Human Pathogen VEuPathDB
Trichoderma virens	NA	Human Pathogen VEuPathDB
Eimeria tenella	NA	Human Pathogen VEuPathDB
Puccinia graminis	NA	Human Pathogen VEuPathDB
Malassezia globosa	NA	Human Pathogen VEuPathDB
Trypanosoma rangeli	NA	Human Pathogen VEuPathDB
Trichoderma reesei	NA	Human Pathogen VEuPathDB
Leishmania infantum	NA	Human Pathogen VEuPathDB
Cryptosporidium muris	NA	Human Pathogen VEuPathDB
Talaromyces stipitatus	NA	Human Pathogen VEuPathDB
Talaromyces marneffei	NA	Human Pathogen VEuPathDB
Enterocytozoon bieneusi	NA	Human Pathogen VEuPathDB
Paracoccidioides brasiliensis	NA	Human Pathogen VEuPathDB
Schizosaccharomyces octosporus	NA	Human Pathogen VEuPathDB
Babesia bovis	NA	Human Pathogen VEuPathDB
Penicillium rubens	NA	Human Pathogen VEuPathDB
Paracoccidioides lutzii	NA	Human Pathogen VEuPathDB
Aspergillus oryzae	NA	Human Pathogen VEuPathDB
Neurospora tetrasperma	NA	Human Pathogen VEuPathDB
Neurospora discreta	NA	Human Pathogen VEuPathDB
Saccharomyces cerevisiae	baker's yeast	Human Pathogen VEuPathDB
