Species	Common	Category
Carica papaya	Papayas	Domesticated Plant Khouri et al. 2016
Carthamus tinctorius	Safflower seed	Domesticated Plant Khouri et al. 2016
Castanea sativa	Chestnut	Domesticated Plant Khouri et al. 2016
Catla catla	Catla	Domesticated Aquaculture FAO
Cavia porcellus	Guinea pig (Cavia porcellus)	Domesticated Animal Wikipedia
Cenchrus americanus	Pearl millet	Domesticated Plant Khouri et al. 2016
Ceratonia siliqua	Carob	Domesticated Plant Khouri et al. 2016
Channa argus	Snakehead	Domesticated Aquaculture FAO
Chanos chanos	Milkfish	Domesticated Aquaculture FAO
Chenopodium quinoa	Quinoa	Domesticated Plant Khouri et al. 2016
Chrysophyllum albidum	white star apple	Domesticated Plant GRIN Food
Chrysophyllum cainito	star apple	Domesticated Plant GRIN Food
Chrysopogon aciculatus	"c(""golden false beardgrass"", ""pilipiliula"", ""golden beardgrass"", ""inifuk"", ""Mackie's pest"", ""matapekepeke"", ""seed grass"")"	Domesticated Plant GRIN Lawn
Cicer arietinum	Chickpeas	Domesticated Plant Khouri et al. 2016
Cichorium intybus	Chicory roots	Domesticated Plant Khouri et al. 2016
Cinnamomum verum	Cinnamon	Domesticated Plant Other Wikipedia
Citrullus lanatus	Watermelons	Domesticated Plant Khouri et al. 2016
Citrus	Citrus	Domesticated Plant Khouri et al. 2016
Clarias spp	Torpedo-shaped catfishes nei	Domesticated Aquaculture FAO
Cocos nucifera	Coconuts	Domesticated Plant Khouri et al. 2016
Coffea arabica	Arabica coffee	Domesticated Plant Khouri et al. 2016
Coffea canephora	Robusta coffee	Domesticated Plant Khouri et al. 2016
Cola nitida	Cola	Domesticated Plant Khouri et al. 2016
Cola acuminata	Cola	Domesticated Plant Other Wikipedia
Colocasia esculenta	Taro	Domesticated Plant Khouri et al. 2016
Columba livia	Domestic pigeon (Columba livia domestica)	Domesticated Animal Wikipedia
Corchorus capsularis	White Jute	Domesticated Plant Other Wikipedia
Coriandrum sativum	Coriander	Domesticated Plant Khouri et al. 2016
Corylus avellana	Hazelnuts	Domesticated Plant Khouri et al. 2016
Crassostrea gigas	Pacific cupped oyster	Domesticated Aquaculture FAO
Croceus sativus	Saffron	Domesticated Plant Other Wikipedia
Ctenopharyngodon idellus	Grass carp	Domesticated Aquaculture FAO
Cucumis anguria	West Indian gherkin	Domesticated Plant GRIN Food
Cucumis melo	Melons	Domesticated Plant Khouri et al. 2016
Cucumis metuliferus	African horned cucumber	Domesticated Plant GRIN Food
Cucumis sativus	Cucumbers	Domesticated Plant Khouri et al. 2016
Cucurbita ficifolia	figleaf gourd	Domesticated Plant GRIN Food
Cucurbita foetidissima	"c(""calabazilla"", ""wild gourd"", ""wild pumkin"", ""buffalo gourd"", ""buffalogourd pumpkin"", ""Missouri gourd"")"	Domesticated Plant GRIN Food
Cucurbita maxima	Winter squash	Domesticated Plant Khouri et al. 2016
Cucurbita moschata	Butternut squash	Domesticated Plant Khouri et al. 2016
Cucurbita pepo	Pumpkin	Domesticated Plant Khouri et al. 2016
Cuminum cyminum	Cumin	Domesticated Plant Other Wikipedia
Curcuma amada	mango ginger	Domesticated Plant GRIN Food
Curcuma angustifolia	East Indian arrowroot	Domesticated Plant GRIN Food
Curcuma longa	Turmeric	Domesticated Plant Vegetable Wikipedia
Cyamopsis tetragonoloba	Guar	Domesticated Plant Vegetable Wikipedia
Cydonia oblonga	Quinces	Domesticated Plant Khouri et al. 2016
Cymbopogon	Lemongrass	Domesticated Plant Other Wikipedia
Cymbopogon citratus	Lemongrass	Domesticated Plant Vegetable Wikipedia
Cynara cardunculus	Artichokes	Domesticated Plant Khouri et al. 2016
Cynodon dactylon	"c(""chiendent pied-de-poule"", ""devilgrass"", ""grama-seda"", ""manienie"", ""motie molulu"", ""Bermudagrass"", ""common bermudagrass"")"	Domesticated Plant GRIN Lawn
Cynodon transvaalensis	"c(""Bermudagrass"", ""African dogstooth grass"")"	Domesticated Plant GRIN Lawn
Cyprinus carpio	Common carp	Domesticated Aquaculture FAO
Cyprinus rubrofuscus	Koi (Cyprinus rubrofuscus)	Domesticated Animal Wikipedia
Daucus carota	Carrots & turnips	Domesticated Plant Khouri et al. 2016
Dendrocalamus asper	giant bamboo	Domesticated Plant GRIN Food
Dendrocalamus latiflorus	giant bamboo	Domesticated Plant GRIN Food
Dendrocalamus strictus	male bamboo	Domesticated Plant GRIN Food
Deschampsia cespitosa	tufted hairgrass	Domesticated Plant GRIN Lawn
Dialium guineense	velvet tamarind	Domesticated Plant GRIN Food
Dichanthium aristatum	Angleton bluestem	Domesticated Plant GRIN Lawn
Dichondra micrantha	Asian ponysfoot	Domesticated Plant GRIN Lawn
Digera muricata	false amaranth	Domesticated Plant GRIN Food
Digitaria didactyla	crabgrass	Domesticated Plant GRIN Lawn
Digitaria exilis	Fonio	Domesticated Plant Khouri et al. 2016
Digitaria iburua	black fonio	Domesticated Plant GRIN Food
Dioscorea alata	Purple Yam (Ube)	Domesticated Plant Khouri et al. 2016
Dioscorea cayenensis	Guinea Yam	Domesticated Plant Khouri et al. 2016
Dioscorea convolvulacea	yam	Domesticated Plant GRIN Food
Dioscorea dumetorum	bitter yam	Domesticated Plant GRIN Food
Dioscorea esculenta	lesser yam	Domesticated Plant GRIN Food
Dioscorea hispida	intoxicating yam	Domesticated Plant GRIN Food
Dioscorea japonica	Japanese yam	Domesticated Plant GRIN Food
Dioscorea pentaphylla	fiveleaf yam	Domesticated Plant GRIN Food
Dioscorea polystachya	Chinese yam	Domesticated Plant GRIN Food
Dioscorea praehensilis	bush yam	Domesticated Plant GRIN Food
Dioscorea rotundata	West African Yam	Domesticated Plant Khouri et al. 2016
Dioscorea trifida	Indian yam	Domesticated Plant GRIN Food
Diospyros blancoi	mabolo	Domesticated Plant GRIN Food
Diospyros digyna	black sapote	Domesticated Plant GRIN Food
Diospyros kaki	Persimmons	Domesticated Plant Khouri et al. 2016
Diospyros lotus	date plum	Domesticated Plant GRIN Food
Diospyros texana	Texas persimmon	Domesticated Plant GRIN Food
Diospyros virginiana	"c(""eastern persimmon"", ""common persimmon"")"	Domesticated Plant GRIN Food
Diplotaxis muralis	annual wallrocket	Domesticated Plant GRIN Food
Dipogon lignosus	Okie bean	Domesticated Plant GRIN Food
Distichlis spicata	"c(""desert saltgrass"", ""marsh spikegrass"", ""saltgrass"", ""inland saltgrass"", ""seashore saltgrass"")"	Domesticated Plant GRIN Lawn
Dorstenia contrajerva	tusilla	Domesticated Plant GRIN Food
Dovyalis abyssinica	koshum	Domesticated Plant GRIN Food
Dovyalis caffra	kei apple	Domesticated Plant GRIN Food
Durio zibethinus	durian	Domesticated Plant GRIN Food
Dyera costulata	jelutong	Domesticated Plant GRIN Food
Echinochloa esculenta	Japanese millet	Domesticated Plant Khouri et al. 2016
Echinochloa frumentacea	Barnyard millets	Domesticated Plant Khouri et al. 2016
Echinochloa stagnina	Burgu millet	Domesticated Plant Khouri et al. 2016
Eisenia bicyclis	Arame	Domesticated Plant Vegetable Wikipedia
Elaeis guineensis	Palm oil	Domesticated Plant Khouri et al. 2016
Elaeis oleifera	Palm oil	Domesticated Plant Khouri et al. 2016
Eleocharis dulcis	"c(""Chinese water chestnut"", ""Chinese waterchestnut"")"	Domesticated Plant GRIN Food
Elettaria cardamomum	Cardamom	Domesticated Plant Khouri et al. 2016
Eleusine coracana	finger millet	Domesticated Plant GRIN Food
Elymus lanceolatus	"c(""streambank wheatgrass"", ""streamside wild rye"")"	Domesticated Plant GRIN Lawn
Equus africanus	Domestic donkey or domestic ass (Equus africanus asinus)	Domesticated Animal Wikipedia
Equus asinus	Donkey	Domesticated Animal FAO
Equus caballus	Horse	Domesticated Animal FAO
Eragrostis tenella	Japanese lovegrass	Domesticated Plant GRIN Lawn
Eremochloa ophiuroides	centipede grass	Domesticated Plant GRIN Lawn
Eriobotrya japonica	loquat	Domesticated Plant GRIN Food
Eriocheir sinensis	Chinese mitten crab	Domesticated Aquaculture FAO
Eruca sativa	Arugula	Domesticated Plant Vegetable Wikipedia
Eucheuma	Eucheuma seaweeds nei	Domesticated Aquaculture FAO
Fagopyrum esculentum	Buckwheat	Domesticated Plant Khouri et al. 2016
Felis catus	Domestic cat or house cat (Felis catus)[3]	Domesticated Animal Wikipedia
Festuca arundinacea	"c(""Alta fescue"", ""coarse fescue"", ""reed fescue"", ""tall fescue"")"	Domesticated Plant GRIN Lawn
Festuca filiformis	fineleaf sheep fescue	Domesticated Plant GRIN Lawn
Festuca ovina	sheep fescue	Domesticated Plant GRIN Lawn
Festuca rubra	"c(""red fescue"", ""ravine fescue"")"	Domesticated Plant GRIN Lawn
