project_acc_bioprj	project_index	BioSamples	Runs
PRJNA454699	E1051	67	67
PRJNA454718	E1052	158	158
PRJNA459481	E1056	35	35
PRJNA470600	E1061	770	770
PRJNA471559	E1068	29	29
PRJNA471950	E1072	24	24
PRJNA472096	E1073	24	24
PRJNA472166	E1074	231	231
PRJNA472842	E1075	24	24
PRJNA473050	M0038	96	96
PRJNA473059	E1078	35	35
PRJNA473254	E1080	23	23
PRJNA473350	E1082	7	7
PRJNA473816	M0040	62	62
PRJNA475217	E1092	72	72
PRJNA475321	E1093	32	32
PRJNA475568	E1096	48	48
PRJNA476511	E1100	576	576
PRJNA476569	E1101	306	306
PRJNA476821	E1103	39	39
PRJNA476867	E1104	178	178
PRJNA477377	M0041	30	30
PRJNA477563	E1109	25	25
PRJNA477644	E1110	42	42
PRJNA477839	E1111	17	20
PRJNA478450	E1121	8	15
PRJNA479851	E1130	74	74
PRJNA479870	E1131	291	291
PRJNA480111	E1134	15	15
PRJNA481434	E1137	22	27
PRJNA481495	E1138	57	57
PRJNA481989	E1139	117	117
PRJNA482009	E1140	61	61
PRJNA482609	E1144	6	6
PRJNA483403	E1154	20	20
PRJNA484107	E1160	287	287
PRJNA484400	E1161	30	30
PRJNA484956	E1163	5	5
PRJNA485027	E1164	169	169
PRJNA485248	E1167	145	145
PRJNA485255	E1168	5	5
PRJNA485717	E1172	40	40
PRJNA485807	E1173	180	192
PRJNA485994	E1174	21	21
PRJNA486080	E1177	32	32
PRJNA486413	E1183	66	66
PRJNA486545	E1186	174	174
PRJNA487055	E1188	119	119
PRJNA487086	E1189	219	219
PRJNA487711	E1193	19	19
PRJNA488599	E1197	35	35
PRJNA488642	E1198	471	471
PRJNA488835	E1201	13	13
PRJNA488976	E1204	32	32
PRJNA489792	E1208	194	194
PRJNA492310	E1220	70	70
PRJNA492718	E1222	20	20
PRJNA492754	E1223	475	475
PRJNA493209	E1228	12	12
PRJNA494149	E1231	6	6
PRJNA494983	E1238	19	19
PRJNA495036	E1240	19	19
PRJNA496336	E1245	409	409
PRJNA497119	E1248	394	788
PRJNA498382	E1253	91	182
PRJNA498532	E1254	64	64
PRJNA503654	E1263	28	28
PRJNA503768	E1264	54	54
PRJNA503852	E1265	163	163
PRJNA504030	E1268	148	169
PRJNA504885	E1272	181	181
PRJNA505048	E1274	195	195
PRJNA505223	E1276	17	17
PRJNA505229	E1277	20	20
PRJNA506239	M0042	473	473
PRJNA506589	E1285	194	194
PRJNA507274	E1288	62	124
PRJNA507304	E1289	178	178
PRJNA508589	M0043	191	191
PRJNA508875	E1302	25	50
PRJNA508972	E1304	239	239
PRJNA508986	M0044	60	60
PRJNA509256	E1306	132	132
PRJNA510004	E1313	20	20
PRJNA510397	E1318	561	561
PRJNA510648	E1321	50	100
PRJNA510656	E1322	70	70
PRJNA510810	E1324	120	120
PRJNA512209	E1329	21	22
PRJNA512999	E1332	34	34
PRJNA513203	E1334	167	167
PRJNA514402	E1340	6	6
PRJNA514804	E1341	6	6
PRJNA515065	E1345	44	44
PRJNA515285	M0046	568	568
PRJNA517442	E1362	60	60
PRJNA517492	E1363	160	160
PRJNA517770	E1365	60	60
PRJNA517873	E1366	30	30
PRJNA521095	E1370	214	214
PRJNA521233	E1371	14	14
PRJNA521400	M0047	94	94
PRJNA521441	E1372	191	191
PRJNA521848	E1375	6	6
PRJNA522301	E1378	46	46
PRJNA522809	E1382	22	22
PRJNA523382	M0049	407	407
PRJNA523574	E1389	74	74
PRJNA525979	E1399	40	40
PRJNA526235	E1404	21	21
PRJNA526860	E1407	31	31
PRJNA527881	E1412	5	5
PRJNA528800	E1419	121	121
PRJNA529740	E1425	37	37
PRJNA530510	E1429	387	387
PRJNA530572	E1430	35	35
PRJNA530622	E1432	179	183
PRJNA531206	M0052	20	20
PRJNA531321	E1438	90	90
PRJNA531653	E1442	63	63
PRJNA532581	E1444	6	6
PRJNA533008	E1450	250	250
PRJNA533015	M0054	92	92
PRJNA533707	M0055	80	80
PRJNA535621	E1452	44	44
PRJNA539993	E1454	95	95
PRJNA54005	E1455	9	27
PRJNA541002	E1459	162	162
PRJNA541109	E1460	72	72
